GGBFS (kg/m3),NaOH (Dry),Pred_CS_MPa,Pred_CO2_kgm3,Pareto_Optimal
0.0,12.810400000000001,29.019783,124.00049,True
18.94736842105263,12.810400000000001,29.019783,124.00049,True
56.84210526315789,12.810400000000001,29.019783,124.00049,True
37.89473684210526,12.810400000000001,29.019783,124.00049,True
94.73684210526315,12.810400000000001,29.019783,124.00049,True
75.78947368421052,12.810400000000001,29.019783,124.00049,True
18.94736842105263,13.60504060157895,30.606058,124.0026,True
0.0,13.60504060157895,30.606058,124.0026,True
56.84210526315789,13.60504060157895,30.606058,124.0026,True
37.89473684210526,13.60504060157895,30.606058,124.0026,True
75.78947368421052,13.60504060157895,30.606058,124.0026,True
94.73684210526315,13.60504060157895,30.606058,124.0026,True
132.6315789473684,12.810400000000001,31.309402,124.97508,True
132.6315789473684,13.60504060157895,33.099792,124.977196,True
151.57894736842104,12.810400000000001,35.61276,125.176834,True
151.57894736842104,13.60504060157895,39.61206,125.211655,True
170.52631578947367,13.60504060157895,41.548794,126.055,True
208.42105263157893,13.60504060157895,42.413868,127.718666,True
151.57894736842104,15.194321804736843,43.911953,129.04935,True
170.52631578947367,15.194321804736843,47.27612,129.90562,True
189.4736842105263,15.194321804736843,47.425217,130.46317,True
170.52631578947367,15.98896240631579,47.705723,130.96716,True
189.4736842105263,15.98896240631579,47.857815,131.5247,True
208.42105263157893,15.194321804736843,49.433846,131.67186,True
208.42105263157893,15.98896240631579,49.865456,132.73676,True
208.42105263157893,16.783603007894737,49.925938,134.2511,True
208.42105263157893,17.578243609473684,50.035553,138.13097,True
208.42105263157893,18.372884211052632,50.26776,138.38765,True
208.42105263157893,19.962165414210524,50.38576,139.86987,True
208.42105263157893,20.756806015789472,50.496593,140.77666,True
208.42105263157893,21.55144661736842,50.522957,140.8668,True
208.42105263157893,23.140727820526315,50.655575,141.03989,True
208.42105263157893,23.935368422105263,50.693787,141.05988,True
208.42105263157893,27.90857143,50.723915,142.0708,True
