Feature,Display_Name,Mean_SHAP,CI_lo,CI_hi,Pct,CI_width
CuringTime_hr,Curing time (h),6.953812,6.154736423492432,7.642353594303131,29.651974,1.487617170810699
RCA_ratio,RCA ratio,5.079261,4.519368386268615,5.645110523700715,21.65864,1.1257421374320993
FA_binder_ratio,FA/binder ratio,2.9075465,2.8158502519130706,3.0092003107070924,12.398162,0.19335005879402178
TotalCoarse_kgm3,Total coarse aggregate (kg/m3),2.687343,2.538657408952713,2.8057957351207734,11.459185,0.2671383261680602
NaOH_M,NaOH molarity (M),2.01598,1.8383971810340882,2.237948989868164,8.596405,0.3995518088340759
Agg_Binder_ratio,Aggregate/binder ratio,1.9595826,1.7456013321876527,2.1992336094379428,8.355919,0.4536322772502901
Age_days,Testing age (days),1.0360816,0.9010724425315857,1.182146593928337,4.4179883,0.2810741513967514
CuringTemp_C,Curing temperature (C),0.8118239,0.6556413665413856,0.9739553898572921,3.4617243,0.3183140233159065
FineAgg_kgm3,Fine aggregate (kg/m3),0.0,0.0,0.0,0.0,0.0
