Feature_A,Feature_B,SHAP_I
CuringTime_hr,RCA_ratio,1.0882090330123901
CuringTime_hr,Agg_Binder_ratio,0.687900722026825
CuringTime_hr,TotalCoarse_kgm3,0.3603172302246094
NaOH_M,RCA_ratio,0.35137444734573364
CuringTemp_C,RCA_ratio,0.2424386739730835
NaOH_M,FA_binder_ratio,0.21859152615070343
NaOH_M,Agg_Binder_ratio,0.1843441277742386
Age_days,RCA_ratio,0.17369750142097473
CuringTemp_C,Agg_Binder_ratio,0.17264868319034576
CuringTime_hr,FA_binder_ratio,0.1619747281074524
CuringTime_hr,Age_days,0.14776946604251862
TotalCoarse_kgm3,Agg_Binder_ratio,0.14483802020549774
NaOH_M,CuringTime_hr,0.1338677704334259
FA_binder_ratio,RCA_ratio,0.13361388444900513
CuringTemp_C,CuringTime_hr,0.11625756323337555
NaOH_M,TotalCoarse_kgm3,0.09249092638492584
FA_binder_ratio,TotalCoarse_kgm3,0.08066190779209137
Age_days,Agg_Binder_ratio,0.07577437162399292
FA_binder_ratio,Agg_Binder_ratio,0.06955423206090927
CuringTemp_C,TotalCoarse_kgm3,0.061775922775268555
CuringTemp_C,Age_days,0.05551348626613617
Age_days,FA_binder_ratio,0.05144708603620529
CuringTemp_C,FA_binder_ratio,0.04761532321572304
NaOH_M,CuringTemp_C,0.03226511925458908
Age_days,TotalCoarse_kgm3,0.03224674239754677
NaOH_M,Age_days,0.023810995742678642
NaOH_M,FineAgg_kgm3,0.0
FineAgg_kgm3,Age_days,0.0
FineAgg_kgm3,TotalCoarse_kgm3,0.0
FineAgg_kgm3,RCA_ratio,0.0
FineAgg_kgm3,Agg_Binder_ratio,0.0
FineAgg_kgm3,FA_binder_ratio,0.0
FineAgg_kgm3,CuringTemp_C,0.0
FineAgg_kgm3,CuringTime_hr,0.0
RCA_ratio,TotalCoarse_kgm3,0.0
RCA_ratio,Agg_Binder_ratio,0.0
