Check,Value
DS1_rows_raw,672
DS1_rows_clean,672
DS2_strength_rows,274
DS2_co2_rows,274
Merged_rows_after_iqr,902
DS1_duplicate_rows,0
DS2_strength_duplicate_rows,0
DS2_co2_duplicate_rows,1
DS2_strength_co2_row_aligned,True
DS1_CS_min,23.4
DS1_CS_max,102.0
DS2_CS_min,8.03376
DS2_CS_max,65.3474
DS2_CO2_min,84.6838
DS2_CO2_max,193.9160476
DS1_file_sha256,f6bb81e5a992491c39e10a886c96e94c840609e4ea4c3b3b00bc0d0010e52b2d
DS2_file_sha256,cae29babcd85b0fdf8786834aa49e2ba554a6eed8d572cdad7c3d36e59e79d7f
